year,month,outcome,lon,lat,shark_type,shark_length,num_sharks,provoked,victim_activity,age,gender
2005,9,injured,137.5333333,-35.08333333,white shark,5,1,unprovoked,boarding,26,male
2005,11,injured,145.0166667,-38.46666667,white shark,1.8,1,unprovoked,boarding,18,male
2005,11,uninjured,153.4,-27.18333333,bronze whaler shark,2.5,3,unprovoked,diving,57,male
2005,12,injured,145.45,-16.48333333,whitetip reef shark,1.5,2,provoked,spearfishing,44,male
2006,1,fatal,153.4333333,-27.4,bull shark,2,1,unprovoked,swimming,21,female
2006,1,injured,115.75,-31.93333333,white shark,3.3,1,provoked,spearfishing,52,male
2006,5,injured,153.1333333,-26.68333333,wobbegong,2,1,provoked,diving,46,male
2006,12,injured,122.5833333,-33.91666667,white shark,5,1,unprovoked,boarding,15,male
2006,12,injured,144.2666667,-38.36666667,white shark,3,1,unprovoked,boarding,25,male
2007,1,uninjured,152.5166667,-32.38333333,white shark,2.8,1,unprovoked,boarding,44,male
2007,1,injured,149.9666667,-37.5,white shark,3,1,provoked,diving,41,male
2007,2,injured,153.6,-28.83333333,white shark,2,1,unprovoked,boarding,26,male
2007,3,injured,153.55,-28.53333333,white shark,1.6,1,unprovoked,boarding,42,female
2007,3,injured,152.2666667,-24.71666667,bull shark,2.3,1,unprovoked,swimming,59,female
2007,5,injured,113.7666667,-23.13333333,whitetip reef shark,2.5,1,provoked,swimming,38,female
2007,7,injured,151.2833333,-33.78333333,wobbegong,1,1,unprovoked,diving,30,male
2007,7,uninjured,114.1166667,-21.95,white shark,2.8,1,unprovoked,boarding,48,male
2007,7,injured,96.81666667,-12.15,wobbegong,1.5,1,provoked,swimming,15,male
2007,10,injured,145.7666667,-16.91666667,whaler shark,1.8,1,provoked,spearfishing,31,male
2007,10,injured,153.6166667,-28.63333333,white shark,2.5,1,unprovoked,boarding,52,female
2007,12,injured,153.4166667,-27.93333333,whaler shark,0.6,1,unprovoked,swimming,13,male
2008,1,injured,115.5333333,-31.98333333,wobbegong,1,1,unprovoked,swimming,42,male
2008,2,injured,146.1666667,-38.83333333,wobbegong,0.6,1,unprovoked,swimming,66,female
2008,4,fatal,153.5666667,-28.86666667,bull shark,2.8,1,unprovoked,boarding,16,male
2008,5,injured,117.9166667,-35.01666667,white shark,4,1,unprovoked,swimming,37,male
2008,8,uninjured,153.6166667,-28.63333333,white shark,4,1,unprovoked,boarding,30,male
2008,9,uninjured,153.6166667,-28.63333333,white shark,2.8,1,unprovoked,boarding,51,male
2008,12,uninjured,152.5166667,-32.43333333,whaler shark,2,1,unprovoked,boarding,10,male
2008,12,fatal,115.7166667,-32.35,white shark,5.5,1,provoked,snorkelling,52,male
2008,12,uninjured,151.3166667,-33.73333333,white shark,5,1,provoked,unmotorised boating,29,male
2009,1,injured,153.55,-28.18333333,white shark,2,1,unprovoked,boarding,31,male
2009,1,injured,148.3,-41.23333333,white shark,5,1,unprovoked,boarding,13,female
2009,2,uninjured,152.9166667,-31.45,white shark,3,1,unprovoked,boarding,24,male
2009,2,injured,151.2166667,-33.85,bull shark,2.7,1,unprovoked,diving,31,male
2009,2,injured,151.2666667,-33.88333333,white shark,2.5,1,unprovoked,boarding,33,male
2009,2,uninjured,152.5166667,-32.38333333,white shark,4,1,unprovoked,boarding,41,male
2009,3,injured,151.3166667,-33.63333333,white shark,3,1,unprovoked,boarding,15,male
2009,3,uninjured,150.1666667,-35.85,whaler shark,1.9,1,unprovoked,boarding,47,female
2009,3,injured,115.7,-32.5,white shark,2,1,unprovoked,boarding,17,male
2009,3,injured,115.5333333,-31.98333333,wobbegong,0.6,1,provoked,swimming,21,male
