year,title,mpa,runtime,gross,rating_count,rating,metacritic,poster_brightness,poster_saturation,poster_edgeness,description
1972,The Suckers,NA,80,NA,58,5,NA,53.76371546193085,30.11580878448326,5.366722656045624,"A rich and powerful big-game hunter tires of tracking and killing animals, and gets an idea--he will invite the owners of a model agency he knows and two of their models to be guests on his...                See full summary »"
1972,It's... Francy's Friday,X,97,NA,6,6.8,NA,NA,NA,NA,Add a Plot
1972,Karen and the Carpenter,NA,48,NA,0,NA,NA,NA,NA,NA,Add a Plot
1972,A Day at the White House,R,NA,NA,0,NA,NA,64.36987632723473,18.447747428042092,8.458455914442236,A woman sent by the President of the United States to infiltrate and bring down the Los Angeles porn industry instead falls in love with the well-endowed founder of the city's only rental house for animal sex performers.
1972,Runaway Hormones,X,NA,NA,0,NA,NA,73.54212553412934,50.889262110297,4.19982875592108,Add a Plot
1972,A Hard Ride to the Movies,NA,NA,NA,0,NA,NA,NA,NA,NA,"A San Francisco biker gang, the Frisco Savages, learn that Hollywood producer Max Green is making a biker movie, ""The Bloody Bikers"", and they decide that they should be in the movie, since...                See full summary »"
1972,Fongaluli,NA,72,NA,48,4.4,NA,77.55319702400962,15.047541079905985,4.6421527401026355,Eccentric Professor Leviticus Wirtsus is obsessed with crossbreeding animals of different species. His research leads Wirtsus to discover a LSD-type substance called Fongaluli. The leaves ...                See full summary »
1972,The Tournament,Not Rated,49,NA,0,NA,NA,NA,NA,NA,Three samurai hold a young woman captive in a forest after being denied entry to a fencing tournament in 12th century England.
1973,The Exorcist,R,122,232.91,345980,8,NA,22.576472739049468,28.911057137959467,1.8862235821663471,"When a 12 year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
1973,The Sting,PG,129,159.6,229024,8.3,NA,79.19641193486073,13.601463454357862,4.969061045487524,Two grifters team up to pull off the ultimate con.
1973,American Graffiti,PG,110,115,77405,7.4,NA,77.82044413413239,14.514049634407444,9.861417512896942,A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.
1973,Papillon,R,151,53.27,116344,8,58,75.32396735221297,20.73632338468754,4.5105096039728,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape."
1973,Robin Hood,G,83,32.06,108799,7.6,57,75.37605807421268,24.91585095044739,4.808782763661666,The story of the legendary outlaw is portrayed with the characters as humanoid animals.
1973,Paper Moon,PG,102,30.93,39493,8,NA,35.85007931593693,6.75482288297275,3.554168587045191,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
1973,Serpico,R,130,29.8,101613,7.7,NA,31.97668779318302,30.88737884888207,4.188587763664988,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
1973,Enter the Dragon,R,102,25,91809,7.7,NA,74.04068614035658,26.52456731531142,7.206455481515824,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.
