doc_id,doc_id_out,count
George Herbert,Virginia Woolf,1
George Herbert,W. H. Auden,3
George Herbert,Walter Raleigh,2
George Herbert,William Blake,7
George Herbert,William Shakespeare,3
George Herbert,William Wordsworth,2
Henry Vaughan,Jane Austen,1
Henry Vaughan,John Clare,2
Henry Vaughan,John Donne,1
Henry Vaughan,John Dryden,3
Henry Vaughan,John Gower,1
Henry Vaughan,John Locke,1
Henry Vaughan,John Milton,3
Henry Vaughan,Jonathan Swift,2
Henry Vaughan,Katherine Philipps,1
Henry Vaughan,Margaret Cavendish,3
Henry Vaughan,Mary Robinson,1
Henry Vaughan,Matthew Arnold,1
Henry Vaughan,Oscar Wilde,1
Henry Vaughan,Percy Bysshe Shelley,1
Henry Vaughan,Philip Sidney,1
Henry Vaughan,Rudyard Kipling,1
Henry Vaughan,Samuel Johnson,2
Henry Vaughan,Samuel Pepys,1
Henry Vaughan,Samuel Taylor Coleridge,2
Henry Vaughan,T. S. Eliot,1
Henry Vaughan,Thomas Hobbes,5
Henry Vaughan,Thomas Malory,2
Henry Vaughan,Thomas More,3
Henry Vaughan,W. H. Auden,2
Henry Vaughan,Walter Raleigh,2
Henry Vaughan,William Blake,1
Henry Vaughan,William Shakespeare,3
Henry Vaughan,William Wordsworth,1
Katherine Philipps,Lord Byron,1
Katherine Philipps,Margaret Cavendish,4
Katherine Philipps,Oscar Wilde,1
Katherine Philipps,Percy Bysshe Shelley,2
Katherine Philipps,Philip Sidney,1
Katherine Philipps,Samuel Beckett,2
Katherine Philipps,Samuel Johnson,2
Katherine Philipps,Samuel Pepys,2
Katherine Philipps,Samuel Taylor Coleridge,2
Katherine Philipps,T. S. Eliot,1
Katherine Philipps,Thomas Hobbes,1
Katherine Philipps,Thomas More,1
Katherine Philipps,W. B. Yeats,2
Katherine Philipps,William Blake,1
Katherine Philipps,William Shakespeare,2
Katherine Philipps,William Wordsworth,2
John Milton,John Stuart Mill,9
John Milton,Jonathan Swift,8
John Milton,Joseph Conrad,10
John Milton,Katherine Philipps,5
John Milton,Lord Byron,11
John Milton,Louis MacNeice,2
John Milton,Margaret Cavendish,8
John Milton,Margery Kempe,4
John Milton,Marie de France,3
John Milton,Mary Robinson,2
John Milton,Mary Wollstonecraft,11
John Milton,Matthew Arnold,3
John Milton,Oscar Wilde,4
