year,title,color_type,color,percentage
1970,Zabriskie Point,greyscale,grey,6.851532794676807
1970,Zabriskie Point,greyscale,white,34.75059410646388
1970,Zabriskie Point,hue,other,0
1970,The Landlord,hue,red,1.7727164959498336
1970,The Landlord,hue,orange,0
1970,The Landlord,hue,yellow,0
1970,The Landlord,hue,green,0
1970,The Landlord,hue,blue,0
1970,The Landlord,hue,violet,0
1970,The Landlord,greyscale,black,11.924947986200655
1970,The Landlord,greyscale,grey,17.190354657406246
1970,The Landlord,greyscale,white,69.11198086044327
1970,The Landlord,hue,other,0
1970,Loving,hue,red,0.0024472947073566264
1970,Loving,hue,orange,0.12938227922748047
1970,Loving,hue,yellow,0.6152439923337755
1970,Loving,hue,green,0.0024472947073566264
1970,Loving,hue,blue,0.01014300457024915
1970,Loving,hue,violet,0
1970,Loving,greyscale,black,65.93250773993809
1970,Loving,greyscale,grey,11.735633200648678
1970,Loving,greyscale,white,21.572195193867017
1970,Loving,hue,other,0
1970,The Strawberry Statement,hue,red,5.045053272450533
1970,The Strawberry Statement,hue,orange,0.00502283105022831
1970,The Strawberry Statement,hue,yellow,0.6423135464231354
1970,The Strawberry Statement,hue,green,1.080365296803653
1970,The Strawberry Statement,hue,blue,23.284931506849315
1970,The Strawberry Statement,hue,violet,0.0013698630136986301
1970,The Strawberry Statement,greyscale,black,46.54855403348554
1970,The Strawberry Statement,greyscale,grey,11.613089802130897
1970,The Strawberry Statement,greyscale,white,11.779299847792998
1970,The Strawberry Statement,hue,other,0
1970,Threesome,hue,red,2.497809106496476
1970,Threesome,hue,orange,0
1970,Threesome,hue,yellow,3.8102495713469235e-4
1970,Threesome,hue,green,9.525623928367308e-4
1970,Threesome,hue,blue,0
1970,Threesome,hue,violet,0
1970,Threesome,greyscale,black,18.64031244046485
1970,Threesome,greyscale,grey,18.149552295675367
1970,Threesome,greyscale,white,60.71099257001333
1970,Threesome,hue,other,0
1970,El Condor,hue,red,11.114130064691864
1970,El Condor,hue,orange,2.9615253660197483
1970,El Condor,hue,yellow,0.2989445011916922
1970,El Condor,hue,green,0.004971058903643174
1970,El Condor,hue,blue,3.404834865509023e-4
1970,El Condor,hue,violet,0
1970,El Condor,greyscale,black,5.845760980592441
1970,El Condor,greyscale,grey,3.473748723186926
1970,El Condor,greyscale,white,76.30057882192713
1970,El Condor,hue,other,0
1970,I Never Sang for My Father,hue,red,66.80253511239427
1970,I Never Sang for My Father,hue,orange,1.0982356052778588
1970,I Never Sang for My Father,hue,yellow,4.943666915497902e-4
1970,I Never Sang for My Father,hue,green,0
1970,I Never Sang for My Father,hue,blue,0
1970,I Never Sang for My Father,hue,violet,0
1970,I Never Sang for My Father,greyscale,black,0
1970,I Never Sang for My Father,greyscale,grey,0.1050529219543304
1970,I Never Sang for My Father,greyscale,white,31.993681993681992
1970,I Never Sang for My Father,hue,other,0
1970,There Was a Crooked Man...,hue,red,3.547339108910891
1970,There Was a Crooked Man...,hue,orange,29.195957095709566
1970,There Was a Crooked Man...,hue,yellow,0.9464727722772277
1970,There Was a Crooked Man...,hue,green,9.282178217821782e-4
1970,There Was a Crooked Man...,hue,blue,0
1970,There Was a Crooked Man...,hue,violet,0.00783828382838284
1970,There Was a Crooked Man...,greyscale,black,2.83993399339934
1970,There Was a Crooked Man...,greyscale,grey,3.740717821782178
1970,There Was a Crooked Man...,greyscale,white,59.720812706270635
1970,There Was a Crooked Man...,hue,other,0
1970,Soldier Blue,hue,red,2.258440046565774
1970,Soldier Blue,hue,orange,0.008430010838585364
1970,Soldier Blue,hue,yellow,0
1970,Soldier Blue,hue,green,2.0071454377584198e-4
1970,Soldier Blue,hue,blue,16.98245754887399
1970,Soldier Blue,hue,violet,0
1970,Soldier Blue,greyscale,black,1.054353498454498
1970,Soldier Blue,greyscale,grey,16.988880414274817
1970,Soldier Blue,greyscale,white,62.70723776644856
1970,Soldier Blue,hue,other,0
1971,Billy Jack,hue,red,6.537409140021512
1971,Billy Jack,hue,orange,4.972466779939625
1971,Billy Jack,hue,yellow,2.012526725595379
1971,Billy Jack,hue,green,0.5582562493592726
1971,Billy Jack,hue,blue,5.6168050755115875
1971,Billy Jack,hue,violet,0.06934827418443999
1971,Billy Jack,greyscale,black,9.651000450578831
1971,Billy Jack,greyscale,grey,3.286583284335675
1971,Billy Jack,greyscale,white,67.29560402047368
1971,Billy Jack,hue,other,0
1971,Fiddler on the Roof,hue,red,5.32786782652231
1971,Fiddler on the Roof,hue,orange,30.491144627323365
1971,Fiddler on the Roof,hue,yellow,2.066837724513424
1971,Fiddler on the Roof,hue,green,0.0010013142249202076
1971,Fiddler on the Roof,hue,blue,0
1971,Fiddler on the Roof,hue,violet,0
1971,Fiddler on the Roof,greyscale,black,2.784279366668752
1971,Fiddler on the Roof,greyscale,grey,2.43582201639652
1971,Fiddler on the Roof,greyscale,white,56.8930471243507
1971,Fiddler on the Roof,hue,other,0
1971,Dirty Harry,hue,red,8.946422396253588
1971,Dirty Harry,hue,orange,1.7956590454260752
1971,Dirty Harry,hue,yellow,4.935532165172093
1971,Dirty Harry,hue,green,0.0021699912089316142
1971,Dirty Harry,hue,blue,0.08044591409751281
1971,Dirty Harry,hue,violet,0.049927157735098586
1971,Dirty Harry,greyscale,black,34.51608848842231
1971,Dirty Harry,greyscale,grey,1.5738165041545782
1971,Dirty Harry,greyscale,white,48.09993833752981
1971,Dirty Harry,hue,other,0
1971,The Last Picture Show,hue,red,0
1971,The Last Picture Show,hue,orange,0
1971,The Last Picture Show,hue,yellow,0
1971,The Last Picture Show,hue,green,0
1971,The Last Picture Show,hue,blue,0
1971,The Last Picture Show,hue,violet,0
1971,The Last Picture Show,greyscale,black,4.712908661948096
1971,The Last Picture Show,greyscale,grey,6.066059993259184
1971,The Last Picture Show,greyscale,white,89.22103134479272
1971,The Last Picture Show,hue,other,0
1971,Carnal Knowledge,hue,red,3.29951028403526
1971,Carnal Knowledge,hue,orange,12.37688540646425
1971,Carnal Knowledge,hue,yellow,2.173294156056154
1971,Carnal Knowledge,hue,green,1.305909239307868e-4
1971,Carnal Knowledge,hue,blue,0.004962455109369899
1971,Carnal Knowledge,hue,violet,0.005484818805093046
1971,Carnal Knowledge,greyscale,black,41.36989879203396
1971,Carnal Knowledge,greyscale,grey,15.867123734900424
1971,Carnal Knowledge,greyscale,white,24.902709761671563
1971,Carnal Knowledge,hue,other,0
