doc_id,year,month,day,views
Walter Raleigh,2023,8,25,1676
Walter Raleigh,2023,8,26,1833
Walter Raleigh,2023,8,27,2315
Walter Raleigh,2023,8,28,2131
Walter Raleigh,2023,8,29,1975
Walter Raleigh,2023,8,30,1793
Walter Raleigh,2023,8,31,1884
Walter Raleigh,2023,9,1,1786
Walter Raleigh,2023,9,2,1593
Walter Raleigh,2023,9,3,1702
Walter Raleigh,2023,9,4,1802
Walter Raleigh,2023,9,5,2472
Walter Raleigh,2023,9,6,1804
Walter Raleigh,2023,9,7,1796
Walter Raleigh,2023,9,8,1615
Walter Raleigh,2023,9,9,1422
Walter Raleigh,2023,9,10,1620
Walter Raleigh,2023,9,11,1582
Walter Raleigh,2023,9,12,1585
Walter Raleigh,2023,9,13,1740
Walter Raleigh,2023,9,14,1602
Walter Raleigh,2023,9,15,1491
Walter Raleigh,2023,9,16,1617
Walter Raleigh,2023,9,17,1720
Walter Raleigh,2023,9,18,1841
Walter Raleigh,2023,9,19,1747
Walter Raleigh,2023,9,20,1847
Walter Raleigh,2023,9,21,1867
Walter Raleigh,2023,9,22,1564
Walter Raleigh,2023,9,23,1616
Walter Raleigh,2023,9,24,1612
Walter Raleigh,2023,9,25,1652
Walter Raleigh,2023,9,26,2002
Walter Raleigh,2023,9,27,1753
Walter Raleigh,2023,9,28,1497
Walter Raleigh,2023,9,29,1402
Philip Sidney,2023,8,1,313
Philip Sidney,2023,8,2,327
Philip Sidney,2023,8,3,343
Philip Sidney,2023,8,4,313
Philip Sidney,2023,8,5,260
Philip Sidney,2023,8,6,349
Philip Sidney,2023,8,7,332
Philip Sidney,2023,8,8,323
Philip Sidney,2023,8,9,240
Philip Sidney,2023,8,10,291
Philip Sidney,2023,8,11,272
Philip Sidney,2023,8,12,256
Philip Sidney,2023,8,13,340
Philip Sidney,2023,8,14,300
Philip Sidney,2023,8,15,286
Philip Sidney,2023,8,16,348
Philip Sidney,2023,8,17,372
Philip Sidney,2023,8,18,272
Philip Sidney,2023,8,19,279
Philip Sidney,2023,8,20,329
Philip Sidney,2023,8,21,312
Philip Sidney,2023,8,22,296
Philip Sidney,2023,8,23,371
Philip Sidney,2023,8,24,348
Philip Sidney,2023,8,25,302
Philip Sidney,2023,8,26,290
Philip Sidney,2023,8,27,274
Philip Sidney,2023,8,28,336
Philip Sidney,2023,8,29,350
Philip Sidney,2023,8,30,304
Philip Sidney,2023,8,31,299
Philip Sidney,2023,9,1,286
Philip Sidney,2023,9,2,282
Philip Sidney,2023,9,3,253
Philip Sidney,2023,9,4,310
Philip Sidney,2023,9,5,279
Philip Sidney,2023,9,6,301
Philip Sidney,2023,9,7,312
Philip Sidney,2023,9,8,245
Philip Sidney,2023,9,9,305
Philip Sidney,2023,9,10,308
Philip Sidney,2023,9,11,283
Philip Sidney,2023,9,12,315
Philip Sidney,2023,9,13,381
Philip Sidney,2023,9,14,371
Philip Sidney,2023,9,15,354
Philip Sidney,2023,9,16,294
Philip Sidney,2023,9,17,274
Philip Sidney,2023,9,18,286
Philip Sidney,2023,9,19,319
Philip Sidney,2023,9,20,476
Philip Sidney,2023,9,21,347
Philip Sidney,2023,9,22,338
Philip Sidney,2023,9,23,299
Philip Sidney,2023,9,24,314
Philip Sidney,2023,9,25,330
Philip Sidney,2023,9,26,363
Philip Sidney,2023,9,27,324
Philip Sidney,2023,9,28,315
Philip Sidney,2023,9,29,285
Christopher Marlowe,2023,8,1,1280
Christopher Marlowe,2023,8,2,1200
Christopher Marlowe,2023,8,3,1202
Christopher Marlowe,2023,8,4,1253
Christopher Marlowe,2023,8,5,1138
Christopher Marlowe,2023,8,6,1247
Christopher Marlowe,2023,8,7,1270
Christopher Marlowe,2023,8,8,1309
Christopher Marlowe,2023,8,9,1214
Christopher Marlowe,2023,8,10,1273
Christopher Marlowe,2023,8,11,1037
Christopher Marlowe,2023,8,12,1122
Christopher Marlowe,2023,8,13,1293
Christopher Marlowe,2023,8,14,1201
Christopher Marlowe,2023,8,15,1231
Christopher Marlowe,2023,8,16,1229
Christopher Marlowe,2023,8,17,1368
Christopher Marlowe,2023,8,18,1097
Christopher Marlowe,2023,8,19,1254
Christopher Marlowe,2023,8,20,1213
Christopher Marlowe,2023,8,21,1352
Christopher Marlowe,2023,8,22,1237
Christopher Marlowe,2023,8,23,1291
Christopher Marlowe,2023,8,24,1232
Christopher Marlowe,2023,8,25,1184
Christopher Marlowe,2023,8,26,1210
Christopher Marlowe,2023,8,27,1296
Christopher Marlowe,2023,8,28,1275
Christopher Marlowe,2023,8,29,1429
Christopher Marlowe,2023,8,30,1383
Christopher Marlowe,2023,8,31,1316
Christopher Marlowe,2023,9,1,1236
Christopher Marlowe,2023,9,2,1336
Christopher Marlowe,2023,9,3,1619
Christopher Marlowe,2023,9,4,1614
Christopher Marlowe,2023,9,5,1593
Christopher Marlowe,2023,9,6,1537
Christopher Marlowe,2023,9,7,1516
Christopher Marlowe,2023,9,8,1501
Christopher Marlowe,2023,9,9,1427
Christopher Marlowe,2023,9,10,1683
Christopher Marlowe,2023,9,11,1608
Christopher Marlowe,2023,9,12,1485
Christopher Marlowe,2023,9,13,1525
Christopher Marlowe,2023,9,14,1579
Christopher Marlowe,2023,9,15,1477
Christopher Marlowe,2023,9,16,1556
Christopher Marlowe,2023,9,17,1823
Christopher Marlowe,2023,9,18,1750
Christopher Marlowe,2023,9,19,1674
Christopher Marlowe,2023,9,20,1731
Christopher Marlowe,2023,9,21,1695
Christopher Marlowe,2023,9,22,1528
Christopher Marlowe,2023,9,23,1543
