food_code,food_code_description,category_number,category_description
81106010,"Butter replacement, powder",8004,Margarine
81200100,"Oil or table fat, NFS",8004,Margarine
81201000,Animal fat or drippings,8002,Butter and animal fats
81202000,Lard,8002,Butter and animal fats
81203000,"Shortening, NS as to vegetable or animal",8004,Margarine
81204000,"Ghee, clarified butter",8002,Butter and animal fats
81301000,Garlic sauce,8412,"Dips, gravies, other sauces"
81301020,Lemon-butter sauce,8412,"Dips, gravies, other sauces"
81302010,Hollandaise sauce,8412,"Dips, gravies, other sauces"
81302040,Sandwich spread,8010,Mayonnaise
81302050,Tartar sauce,8010,Mayonnaise
81302060,Horseradish sauce,8406,Mustard and other condiments
81302070,Pesto sauce,8412,"Dips, gravies, other sauces"
81308100,Fry sauce,8406,Mustard and other condiments
81308200,"Sauce, NFS",8412,"Dips, gravies, other sauces"
81312100,Curry sauce,8412,"Dips, gravies, other sauces"
81322000,Honey butter,8002,Butter and animal fats
82101000,"Vegetable oil, NFS",8012,Salad dressings and vegetable oils
82101300,Almond oil,8012,Salad dressings and vegetable oils
82101500,Coconut oil,8012,Salad dressings and vegetable oils
82102000,Corn oil,8012,Salad dressings and vegetable oils
82103000,Cottonseed oil,8012,Salad dressings and vegetable oils
82103500,Flaxseed oil,8012,Salad dressings and vegetable oils
82104000,Olive oil,8012,Salad dressings and vegetable oils
82105000,Peanut oil,8012,Salad dressings and vegetable oils
82105500,Canola oil,8012,Salad dressings and vegetable oils
82106000,Safflower oil,8012,Salad dressings and vegetable oils
82107000,Sesame oil,8012,Salad dressings and vegetable oils
82108000,Soybean oil,8012,Salad dressings and vegetable oils
82108500,Sunflower oil,8012,Salad dressings and vegetable oils
82108700,Walnut oil,8012,Salad dressings and vegetable oils
82109000,Wheat germ oil,8012,Salad dressings and vegetable oils
83100100,"Salad dressing, NFS, for salads",8012,Salad dressings and vegetable oils
83100200,"Salad dressing, NFS, for sandwiches",8010,Mayonnaise
83101000,Blue or roquefort cheese dressing,8012,Salad dressings and vegetable oils
83101600,Bacon and tomato dressing,8012,Salad dressings and vegetable oils
83102000,Caesar dressing,8012,Salad dressings and vegetable oils
83103000,Coleslaw dressing,8012,Salad dressings and vegetable oils
83104000,French or Catalina dressing,8012,Salad dressings and vegetable oils
83105500,Honey mustard dressing,8012,Salad dressings and vegetable oils
83106000,"Italian dressing, made with vinegar and oil",8012,Salad dressings and vegetable oils
83107000,"Mayonnaise, regular",8010,Mayonnaise
83108000,Vegan mayonnaise,8010,Mayonnaise
83109000,Russian dressing,8012,Salad dressings and vegetable oils
83110000,Mayonnaise-type salad dressing,8010,Mayonnaise
83112000,Avocado dressing,8012,Salad dressings and vegetable oils
83112400,Creamy Italian dressing,8012,Salad dressings and vegetable oils
83112500,Creamy dressing,8012,Salad dressings and vegetable oils
83112950,Poppy seed dressing,8012,Salad dressings and vegetable oils
83112990,Sesame dressing,8012,Salad dressings and vegetable oils
83113500,Ranch dressing,8012,Salad dressings and vegetable oils
83114000,Thousand Island dressing,8012,Salad dressings and vegetable oils
83115000,Yogurt dressing,8012,Salad dressings and vegetable oils
83200100,"Salad dressing, light, NFS",8012,Salad dressings and vegetable oils
83201000,"Blue or roquefort cheese dressing, light",8012,Salad dressings and vegetable oils
83201400,"Coleslaw dressing, light",8012,Salad dressings and vegetable oils
83201500,"Creamy Italian dressing, light",8012,Salad dressings and vegetable oils
83202020,"French or Catalina dressing, light",8012,Salad dressings and vegetable oils
83203000,"Caesar dressing, light",8012,Salad dressings and vegetable oils
83204000,"Mayonnaise, light",8010,Mayonnaise
83204030,"Mayonnaise, reduced fat,  with olive oil",8010,Mayonnaise
83204050,"Mayonnaise-type salad dressing, light",8010,Mayonnaise
83204500,"Honey mustard dressing, light",8012,Salad dressings and vegetable oils
83205450,"Italian dressing, light",8012,Salad dressings and vegetable oils
83205560,"Ranch dressing, light",8012,Salad dressings and vegetable oils
83206000,"Russian dressing, light",8012,Salad dressings and vegetable oils
83206500,"Sesame dressing, light",8012,Salad dressings and vegetable oils
83207000,"Thousand Island dressing, light",8012,Salad dressings and vegetable oils
83208500,Korean dressing or marinade,8012,Salad dressings and vegetable oils
83210100,"Creamy dressing, light",8012,Salad dressings and vegetable oils
